"","x","y","rhos_443","rhos_492","rhos_560","rhos_665","rhos_704","rhos_740","rhos_783","rhos_833","rhos_865","rhos_1614","rhos_2202","date","satellite","pond","class"
"276",5.33079235107875,50.9853901954599,0.0147365322336555,0.0195730943232775,0.0335761159658432,0.0176871716976166,0.0468536056578159,0.185058146715164,0.227945640683174,0.26554748415947,0.245966672897339,0.0747787430882454,0.0318007618188858,"2015_07_06","S2A","1J1","vegetation"
"277",5.33093435107875,50.9853901954599,0.0138085288926959,0.0184468049556017,0.0329549461603165,0.0177579578012228,0.0454475395381451,0.16230221092701,0.207215949892998,0.243513375520706,0.226118579506874,0.0729469433426857,0.0330640934407711,"2015_07_06","S2A","1J1","vegetation"
"278",5.33107635107875,50.9853901954599,0.0135411471128464,0.0167181473225355,0.0289225429296494,0.0176760647445917,0.0450424142181873,0.155745655298233,0.201243191957474,0.18592569231987,0.220399841666222,0.0724191591143608,0.0334280915558338,"2015_07_06","S2A","1J1","vegetation"
"279",5.33121835107875,50.9853901954599,0.0135411471128464,0.0161778405308723,0.0255331918597221,0.0168107524514198,0.0433870665729046,0.139617666602135,0.193135604262352,0.166247457265854,0.202259659767151,0.0702085867524147,0.0330942086875439,"2015_07_06","S2A","1J1","vegetation"
"280",5.33136035107875,50.9853901954599,0.0135411471128464,0.0163339991122484,0.026675084605813,0.0170343331992626,0.0428909994661808,0.134784504771233,0.190705955028534,0.175465390086174,0.196823507547379,0.0695461332798004,0.0329941511154175,"2015_07_06","S2A","1J1","vegetation"
"281",5.33150235107875,50.9853901954599,0.0135411471128464,0.017893785610795,0.0314904600381851,0.0178117044270039,0.0519505254924297,0.200107201933861,0.256759226322174,0.234834238886833,0.276933163404465,0.0925277397036552,0.0392799228429794,"2015_07_06","S2A","1J1","vegetation"
"282",5.33164435107875,50.9853901954599,0.0135411471128464,0.0210649985820055,0.0397578701376915,0.0184564348310232,0.0547719672322273,0.220450893044472,0.277330428361893,0.314477503299713,0.301882028579712,0.0996849834918976,0.0412375219166279,"2015_07_06","S2A","1J1","vegetation"
"283",5.33178635107875,50.9853901954599,0.0157483499497175,0.0215048249810934,0.0444737412035465,0.0195097047835588,0.0587001107633114,0.234798729419708,0.290792942047119,0.356339037418365,0.322719097137451,0.108734987676144,0.0462352633476257,"2015_07_06","S2A","1J1","vegetation"
"284",5.33192835107875,50.9853901954599,0.0164621751755476,0.0204408746212721,0.040220744907856,0.0194471757858992,0.0599705018103123,0.23943892121315,0.295146822929382,0.299718379974365,0.329457938671112,0.111661829054356,0.0478515699505806,"2015_07_06","S2A","1J1","vegetation"
"285",5.33207035107875,50.9853901954599,0.0164621751755476,0.0202559735625982,0.0365697667002678,0.0209046080708504,0.0616618879139423,0.222292974591255,0.274696201086044,0.239160746335983,0.294986397027969,0.111661829054356,0.049556028097868,"2015_07_06","S2A","1J1","vegetation"
"297",5.33036635107875,50.9853003954599,0.0147365322336555,0.0194194037467241,0.0356198698282242,0.0196314435452223,0.0518997423350811,0.177177399396896,0.224846303462982,0.226731613278389,0.261439353227615,0.0832263007760048,0.0357825830578804,"2015_07_06","S2A","1J1","vegetation"
"298",5.33050835107875,50.9853003954599,0.0147365322336555,0.0186835359781981,0.032180767506361,0.0156564507633448,0.050348412245512,0.174441754817963,0.225866138935089,0.218104466795921,0.261769980192184,0.0826690942049026,0.0347514040768147,"2015_07_06","S2A","1J1","vegetation"
"299",5.33065035107875,50.9853003954599,0.0147365322336555,0.0181817915290594,0.0353684090077877,0.0164270028471947,0.0460861623287201,0.157845333218575,0.195906892418861,0.272853314876556,0.213138416409492,0.0750179439783096,0.0333191864192486,"2015_07_06","S2A","1J1","vegetation"
"300",5.33079235107875,50.9853003954599,0.0147365322336555,0.0181129667907953,0.0306213796138763,0.017266109585762,0.0452749915421009,0.155687853693962,0.190983280539513,0.221765905618668,0.20439176261425,0.0735269412398338,0.0330300219357014,"2015_07_06","S2A","1J1","vegetation"
"301",5.33093435107875,50.9853003954599,0.0137707814574242,0.0164349488914013,0.028277363628149,0.0173812247812748,0.0455590561032295,0.142980188131332,0.171656489372253,0.178192868828773,0.189707145094872,0.0694370344281197,0.0329013131558895,"2015_07_06","S2A","1J1","vegetation"
"302",5.33107635107875,50.9853003954599,0.0135411471128464,0.0160743743181229,0.027402751147747,0.0169319361448288,0.0455916188657284,0.140307858586311,0.168037623167038,0.159989193081856,0.18715400993824,0.0686025619506836,0.032901793718338,"2015_07_06","S2A","1J1","vegetation"
"303",5.33121835107875,50.9853003954599,0.0135411471128464,0.0164923183619976,0.0261022932827473,0.0158325601369143,0.0481441989541054,0.161855489015579,0.206494390964508,0.186730951070786,0.215012669563293,0.0797929167747498,0.0360180288553238,"2015_07_06","S2A","1J1","vegetation"
"304",5.33136035107875,50.9853003954599,0.0135411471128464,0.0168875642120838,0.0312397871166468,0.0165997464209795,0.048544604331255,0.165749773383141,0.214711636304855,0.254508405923843,0.220606043934822,0.0820090174674988,0.0366332307457924,"2015_07_06","S2A","1J1","vegetation"
"305",5.33150235107875,50.9853003954599,0.0135411471128464,0.0186882559210062,0.0356342382729053,0.018124895170331,0.0576048530638218,0.240400522947311,0.300688713788986,0.315568685531616,0.329356729984283,0.107715703547001,0.0453600883483887,"2015_07_06","S2A","1J1","vegetation"
"306",5.33164435107875,50.9853003954599,0.0135411471128464,0.0200893003493547,0.0406400300562382,0.0188433136790991,0.0597843527793884,0.258344322443008,0.321215987205505,0.361207842826843,0.355343759059906,0.113862425088882,0.0473789051175117,"2015_07_06","S2A","1J1","vegetation"
"307",5.33178635107875,50.9853003954599,0.0158406235277653,0.0218356065452099,0.0441792421042919,0.0198603328317404,0.0616756863892078,0.256115972995758,0.335520267486572,0.392180263996124,0.352730870246887,0.118280053138733,0.051134254783392,"2015_07_06","S2A","1J1","vegetation"
"308",5.33192835107875,50.9853003954599,0.0164621751755476,0.0224409494549036,0.0432446971535683,0.020722646266222,0.0621391125023365,0.25518524646759,0.337765276432037,0.364560723304749,0.351566761732101,0.119264185428619,0.0520141236484051,"2015_07_06","S2A","1J1","vegetation"
"309",5.33207035107875,50.9853003954599,0.0164621751755476,0.0196321848779917,0.0362174063920975,0.0192777421325445,0.059905182570219,0.223057001829147,0.28736287355423,0.258600533008575,0.299593359231949,0.111322142183781,0.0497002005577087,"2015_07_06","S2A","1J1","vegetation"
"310",5.33221235107875,50.9853003954599,0.0164621751755476,0.020110011100769,0.0398931279778481,0.0204193517565727,0.0594641044735909,0.214361160993576,0.273464858531952,0.284014821052551,0.285178542137146,0.109327517449856,0.0491631217300892,"2015_07_06","S2A","1J1","vegetation"
"321",5.33036635107875,50.9852105954599,0.0147365322336555,0.0197852328419685,0.0356567688286304,0.0211450513452291,0.052145704627037,0.179392710328102,0.227615475654602,0.259277164936066,0.265443295240402,0.084129624068737,0.0360144264996052,"2015_07_06","S2A","1J1","vegetation"
"322",5.33050835107875,50.9852105954599,0.0147365322336555,0.0182397980242968,0.0308948941528797,0.0176718272268772,0.0512663871049881,0.179488897323608,0.230883792042732,0.17333123087883,0.269110262393951,0.0845207795500755,0.0354891940951347,"2015_07_06","S2A","1J1","vegetation"
"323",5.33065035107875,50.9852105954599,0.0147365322336555,0.0156654845923185,0.0298328157514334,0.0175445955246687,0.0459986142814159,0.155682116746902,0.19250425696373,0.174700066447258,0.209150403738022,0.0750598534941673,0.033561110496521,"2015_07_06","S2A","1J1","vegetation"
"324",5.33079235107875,50.9852105954599,0.0147365322336555,0.0156955625861883,0.0279991682618856,0.0179354622960091,0.0450424142181873,0.151360750198364,0.185537651181221,0.17244915664196,0.198266580700874,0.0733425170183182,0.0332111269235611,"2015_07_06","S2A","1J1","vegetation"
"325",5.33093435107875,50.9852105954599,0.0137330330908298,0.0154591090977192,0.0291018635034561,0.0184497330337763,0.0456126220524311,0.139013543725014,0.164246544241905,0.165565654635429,0.182329595088959,0.0686048120260239,0.0328468382358551,"2015_07_06","S2A","1J1","vegetation"
"326",5.33107635107875,50.9852105954599,0.0135411471128464,0.0153757147490978,0.0276626031845808,0.0179260224103928,0.0457216575741768,0.136652544140816,0.160175308585167,0.155992925167084,0.179282158613205,0.0676988810300827,0.0327771790325642,"2015_07_06","S2A","1J1","vegetation"
"327",5.33121835107875,50.9852105954599,0.0135411471128464,0.0173019338399172,0.0300288833677769,0.0177543610334396,0.049678847193718,0.169679313898087,0.212404295802116,0.190612182021141,0.220447227358818,0.0831554532051086,0.0370219573378563,"2015_07_06","S2A","1J1","vegetation"
"328",5.33136035107875,50.9852105954599,0.0135411471128464,0.0190299283713102,0.0381276346743107,0.0183178652077913,0.0504745468497276,0.176320225000381,0.222906336188316,0.293869256973267,0.22872456908226,0.0862634107470512,0.037875484675169,"2015_07_06","S2A","1J1","vegetation"
"329",5.33150235107875,50.9852105954599,0.0135411471128464,0.0197549611330032,0.0400216057896614,0.0189109910279512,0.0600873157382011,0.258605390787125,0.320940524339676,0.363695651292801,0.353812843561172,0.114498600363731,0.0480818673968315,"2015_07_06","S2A","1J1","vegetation"
"330",5.33164435107875,50.9852105954599,0.0135411471128464,0.0193893108516932,0.0403380170464516,0.0183641724288464,0.0621165782213211,0.275975853204727,0.34163561463356,0.367324978113174,0.3802190721035,0.120459072291851,0.0502364449203014,"2015_07_06","S2A","1J1","vegetation"
